STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/14/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/15/15,7.61,,0.08,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/16/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/17/15,7.83,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/18/15,8.05,,0.14,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/19/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/20/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/21/15,5.82,,0.63,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/22/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/23/15,8.05,,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/24/15,6.04,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/25/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/26/15,7.83,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/27/15,10.07,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/28/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/29/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/30/15,8.95,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/31/15,11.18,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/1/15,9.4,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/2/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/3/15,5.59,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/4/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/5/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/6/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/7/15,11.86,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/8/15,7.38,,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/9/15,12.75,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/10/15,10.96,,0.17,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/11/15,9.84,,0.66,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/12/15,6.49,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/13/15,9.62,,0.38,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/14/15,15.21,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/15/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/16/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/17/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/18/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/19/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/20/15,11.63,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/21/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/22/15,9.4,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/23/15,5.59,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/24/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/25/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/26/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/27/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/28/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/29/15,9.17,,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/30/15,12.97,,2.46,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/1/15,17.22,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/2/15,20.36,,0.08,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/3/15,22.37,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/4/15,18.12,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/5/15,9.17,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/6/15,5.59,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/7/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/8/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/9/15,14.76,,0.34,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/10/15,9.84,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/11/15,13.87,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/12/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/13/15,7.61,,0.12,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/14/15,12.53,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/15/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/16/15,11.86,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/17/15,11.86,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/18/15,11.41,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/19/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/20/15,11.63,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/21/15,6.26,,0.07,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/22/15,10.96,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/23/15,13.42,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/24/15,5.82,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/25/15,11.63,,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/26/15,8.5,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/27/15,5.82,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/28/15,17,,0.36,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/29/15,17,,0.73,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/30/15,12.97,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10/31/15,6.93,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/1/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/2/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/3/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/4/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/5/15,11.86,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/6/15,14.54,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/7/15,13.2,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/8/15,11.41,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/9/15,8.95,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/10/15,7.61,,0.07,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/11/15,16.11,,0.54,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/12/15,7.38,,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/13/15,17.9,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/14/15,16.11,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/15/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/16/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/17/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/18/15,6.26,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/19/15,8.95,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/20/15,12.75,,0.86,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/21/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/22/15,7.16,,0.3,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/23/15,13.42,,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/24/15,8.05,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/25/15,6.04,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/26/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/27/15,14.32,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/28/15,9.62,,0.21,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/29/15,9.62,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11/30/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/1/15,6.04,,0.14,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/2/15,3.8,,0.32,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/3/15,14.09,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/4/15,10.74,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/5/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/6/15,8.05,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/7/15,7.38,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/8/15,10.51,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/9/15,7.61,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/10/15,4.92,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/11/15,7.83,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/12/15,7.16,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/13/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/14/15,4.25,,0.42,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/15/15,14.09,,0.19,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/16/15,8.72,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/17/15,8.05,,0.55,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/18/15,10.51,,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/19/15,15.43,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/20/15,10.29,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/21/15,16.11,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/22/15,8.95,,0.23,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/23/15,7.38,,0.76,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/24/15,8.05,,0.24,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/25/15,5.59,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/26/15,6.71,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/27/15,6.26,,0.26,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/28/15,13.42,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/29/15,18.12,,1.02,0.9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/30/15,6.26,,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12/31/15,8.72,,0.08,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/1/16,12.75,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/2/16,13.42,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/3/16,11.63,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/4/16,12.3,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/5/16,10.07,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/6/16,10.07,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/7/16,6.49,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/8/16,10.96,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/9/16,6.04,,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/10/16,14.99,,1.38,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/11/16,19.24,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/12/16,9.62,,0.08,0.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/13/16,19.69,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/14/16,10.51,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/15/16,6.49,,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/16/16,9.4,,1.22,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/17/16,9.4,,0.1,1.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/18/16,16.78,,0.11,1.8
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/19/16,21.92,,0,0
